design,time,fpn,expedience,variability,average,max_fall,max_rise,range
48,20,10.038,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,20,5.0707,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,20,3.3212,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,20,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,20,2.7051,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,20,30.216,0.57913,485.33,18.476,-29.295,27.655,31.035
79,20,22.269,0.66748,340.77,10.093,-21.88,20.644,21.88
80,20,20.429,0.65933,272.21,11.964,-18.724,15.748,19.084
94,20,13.931,0.6748,286.66,6.752,-16.509,16.509,16.509
95,20,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,20,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,20,31.758,0.70847,456.68,13.541,-27.651,29.322,30.173
112,20,29.838,0.74787,463.48,12.868,-31.143,30.541,32.173
127,20,6.4229,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,20,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,20,14.518,0.5275,212.23,11.393,-12.338,11.931,13.777
175,20,5.5511,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,20,14.18,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,20,4.1752,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,20,6.10E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,20,2.7051,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,20,33.063,0.5801,501.46,20.752,-29.745,29.26,31.765
207,20,24.618,0.65242,381.94,12.024,-23.758,22.33,23.758
208,20,24.424,0.65475,296.69,13.983,-19.137,17.23,20.271
222,20,15.734,0.66278,309.56,8.002,-17.999,17.9,17.999
223,20,2.135,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,20,6.10E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,20,35.056,0.69656,513.61,15.111,-30.241,32.407,33.21
240,20,33.585,0.72106,523.99,14.969,-33.957,31.725,34.935
255,20,12.573,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,20,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,20,15.847,0.52716,214.38,12.574,-12.338,12.338,13.827
303,20,6.3339,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,20,15.58,0.60541,177.16,10.46,-12.084,12.084,14
318,20,5.0292,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,20,6.10E-05,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,20,2.7051,0.36095,268.5,8.307,-14.491,14.524,16.334
328,20,35.91,0.58558,513.05,22.612,-32.025,32.025,32.025
335,20,26.967,0.6486,411.87,13.768,-24.728,23.384,25.483
336,20,28.001,0.64693,350.06,15.903,-21.837,20.582,22.921
351,20,4.2701,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,20,6.10E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,20,38.353,0.68952,576.9,16.734,-33.305,35.515,36.276
