design_id,weight,pax,cargo,lio_depth,lio_type,pwr_source,prop_type,mod,combine_score,msn1_score,msn2_score,msn3_score,cost,range,max_speed,endurance_speed,fpn,fpn1,fpn2,fpn3
1866,28000,4,50,120,6,1,2,150,0.777,0.719,0.831,0.579,20.58,171,11,6,7.29,10,4.1,9.26
1867,28000,4,50,120,6,2,1,300,0.836,0.834,0.956,0.906,32.31,151,16,5,25,20.6,16.14,10.63
1869,28000,4,50,120,6,2,1,150,0.763,0.699,0.819,0.573,30.32,157,16,5,34.5,26.83,28.36,32.09
1870,28000,4,50,120,6,2,2,300,0.867,0.876,0.984,0.916,32.11,186,17,6,20.87,15.45,11.59,9.5
1872,28000,4,50,120,6,2,2,150,0.796,0.743,0.849,0.586,30.39,196,17,6,30.17,24.76,24.09,32.36
1873,28000,4,50,20,1,1,1,300,0.624,0.670,0.706,0.470,19.2,187,10,6,8.53,5.51,5.91,9
1874,28000,4,50,20,1,1,1,800,0.583,0.607,0.653,0.393,20.43,152,10,5,13.29,13.29,10.97,14.38
1875,28000,4,50,20,1,1,1,150,0.556,0.543,0.573,0.140,17.83,204,10,6,3.22,3.56,8.87,10.63
1876,28000,4,50,20,1,1,2,300,0.651,0.704,0.731,0.479,18.72,216,11,6,6.66,2.8,2.8,7.75
1877,28000,4,50,20,1,1,2,800,0.605,0.634,0.676,0.401,19.93,172,11,6,11.36,9.95,9.03,12.44
1878,28000,4,50,20,1,1,2,150,0.585,0.580,0.600,0.150,17.4,236,11,7,1.55,1.55,4.55,9.51
1879,28000,4,50,20,1,2,1,300,0.608,0.646,0.693,0.463,27.29,161,16,5,33.28,27.09,26.7,32.88
1880,28000,4,50,20,1,2,1,800,0.575,0.594,0.649,0.391,26.9,140,15,5,31.77,32.69,33.19,33.75
1881,28000,4,50,20,1,2,1,150,0.534,0.509,0.554,0.132,26.85,167,16,6,33.47,34.29,34.29,39.25
1882,28000,4,50,20,1,2,2,300,0.641,0.691,0.723,0.476,27.35,201,18,6,32.35,27.32,26.93,31.5
1883,28000,4,50,20,1,2,2,800,0.607,0.637,0.677,0.402,26.96,176,17,6,32.01,27.36,28.64,33.98
1884,28000,4,50,20,1,2,2,150,0.567,0.556,0.584,0.144,26.91,209,18,6,31.82,34.52,34.52,39.48
1885,28000,4,50,20,2,1,1,300,0.668,0.759,0.860,0.641,21.18,161,10,5,15.91,12.26,3.02,11.59
1886,28000,4,50,20,2,1,1,800,0.624,0.691,0.806,0.563,22.42,126,10,5,21.01,17.13,8.18,16.39
1887,28000,4,50,20,2,1,1,150,0.602,0.633,0.729,0.312,19.84,178,10,6,11.01,10.13,7.13,12.1
1888,28000,4,50,20,2,1,2,300,0.692,0.789,0.883,0.649,20.66,184,11,6,12.82,8.53,1.01,9.57
1889,28000,4,50,20,2,1,2,800,0.643,0.714,0.824,0.570,22.05,142,11,5,19.22,15.69,6.39,14.96
1890,28000,4,50,20,2,1,2,150,0.627,0.666,0.753,0.321,19.35,204,11,6,9.11,6.04,5.23,10.19
1891,28000,4,50,20,2,2,1,300,0.664,0.750,0.857,0.639,29.34,152,16,5,37.2,20.69,22.73,28.29
1892,28000,4,50,20,2,2,1,800,0.630,0.699,0.813,0.567,29.69,132,15,5,41.42,26.83,25.92,29.64
1893,28000,4,50,20,2,2,1,150,0.589,0.614,0.719,0.308,27.29,158,16,5,33.28,30.2,26.7,35.26
1894,28000,4,50,20,2,2,2,300,0.697,0.796,0.887,0.651,29.41,190,17,6,33.75,20.97,17.96,28.56
1895,28000,4,50,20,2,2,2,800,0.662,0.741,0.841,0.578,29.77,165,16,6,37.4,22.36,25.23,29.95
1896,28000,4,50,20,2,2,2,150,0.622,0.660,0.749,0.319,27.35,198,17,6,33.52,27.32,25.68,35.49
1897,28000,4,50,20,3,1,1,300,0.673,0.771,0.886,0.671,20.96,152,10,5,15.29,10.66,2.18,9.5
1898,28000,4,50,20,3,1,1,800,0.627,0.701,0.830,0.594,22.18,117,10,4,20.07,16.2,6.9,15.47
1899,28000,4,50,20,3,1,1,150,0.607,0.646,0.754,0.342,19.63,169,10,6,10.19,8.53,6.32,11.28
1900,28000,4,50,20,3,1,2,300,0.695,0.799,0.907,0.679,20.43,172,11,6,12.4,7.29,0.12,8.63
1902,28000,4,50,20,3,1,2,150,0.632,0.676,0.779,0.351,19.14,193,11,6,8.3,4.8,4.42,9.38
1903,28000,4,50,20,3,2,1,300,0.676,0.771,0.890,0.672,29.34,152,16,5,35.54,20.69,17.5,26.38
1904,28000,4,50,20,3,2,1,800,0.643,0.720,0.846,0.600,29.69,132,15,5,39.88,24.16,24.55,29.64
1905,28000,4,50,20,3,2,1,150,0.602,0.636,0.751,0.341,27.29,158,16,5,33.28,27.53,25.23,35.26
1906,28000,4,50,20,3,2,2,300,0.709,0.817,0.920,0.684,29.41,190,17,6,33.75,20.97,12.73,25.73
