L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,Prof,MAU1,MAU2,CAPEX
120,35,11,800,350,15000,600,0,0,1,1,1162.4,22.049,0.81165,0.7156,259.54
140,35,11,800,350,15000,600,0,0,1,1,1607.6,21.495,0.79412,0.75333,275
160,35,11,800,350,15000,600,0,0,1,1,2063.3,20.941,0.77633,0.77276,290.46
180,35,11,800,350,15000,600,0,0,1,1,2528.6,20.386,0.75829,0.78251,305.93
160,25,14,800,350,15000,600,0,0,1,1,1097.4,21.344,0.78929,0.77669,279.22
180,25,14,800,350,15000,600,0,0,1,1,1411.8,20.84,0.77307,0.78713,293.27
140,30,14,800,350,15000,600,0,0,1,1,1192.4,21.142,0.78283,0.74994,284.84
160,30,14,800,350,15000,600,0,0,1,1,1573.3,20.537,0.76324,0.76869,301.71
180,30,14,800,350,15000,600,0,0,1,1,1962.1,19.933,0.74332,0.77773,318.58
120,35,14,800,350,15000,600,0,0,1,1,1162.4,21.142,0.78283,0.70706,284.84
140,35,14,800,350,15000,600,0,0,1,1,1607.6,20.437,0.75994,0.74286,304.52
160,35,14,800,350,15000,600,0,0,1,1,2063.3,19.731,0.73661,0.76016,324.2
180,35,14,800,350,15000,600,0,0,1,1,2528.6,19.026,0.7128,0.76761,343.88
